"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2020-09-24","92.1","-2.21","5.70","Blake Cederlind",571740,664977,"null","swinging_strike",,,,,"8","null","R","L","R","PIT","CHC","S","null","null",0,1,2020,"0.03","0.68","-0.23","1.91","null","null","null",0,9,"Top","null","null",,,"571974",,"null",5.001068584506378,-134.09722340492883,-5.3749772399604785,-0.6325818487129591,25.410910036889106,-23.07369686892512,"3.37","1.53","null","null","null","93.2","750","6.6",631099,664977,"571974","605137","624428","663647","595375","666931","668804","570256","53.85","null","null","null","null","null","null","null",67,"2","Cutter",7,0,0,7,0,7,0,7,"Standard","Standard"
"SI","2020-09-24","98.4","-2.13","5.89","Blake Cederlind",571740,664977,"null","called_strike",,,,,"8","null","R","L","R","PIT","CHC","S","null","null",0,0,2020,"-1.26","0.98","-0.17","2.10","null","null","null",0,9,"Top","null","null",,,"571974",,"null",8.302436121265135,-143.0789097738041,-7.158088202140434,-19.1427679096858,30.062265586764603,-17.279140239431673,"3.43","1.67","null","null","null","99.4","2148","6.7",631099,664977,"571974","605137","624428","663647","595375","666931","668804","570256","53.83","null","null","null","null","null","null","null",67,"1","Sinker",7,0,0,7,0,7,0,7,"Standard","Standard"
"SI","2020-09-21","97.3","-1.92","5.83","Blake Cederlind",518792,664977,"single","hit_into_play_no_out",,,,,"5","Jason Heyward singles on a sharp ground ball to right fielder Gregory Polanco.   David Bote to 3rd.  ","R","L","R","PIT","CHC","X",9,"ground_ball",1,1,2020,"-1.50","0.54","0.12","2.27","null","null",623520,2,8,"Top","181.98","111.23",,,"607732",,"null",8.991731989880641,-141.3386199075707,-5.253627908871785,-22.242486331079913,34.50331460062236,-23.827332941752978,"3.37","1.61","29","100.7","-3","97.7","2150","6.8",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.71","0.407","0.366","0.90",1,1,0,2,58,"3","Sinker",0,5,5,0,5,0,5,0,"Standard","Standard"
"FC","2020-09-21","89.2","-2.01","5.67","Blake Cederlind",518792,664977,"null","called_strike",,,,,"9","null","R","L","R","PIT","CHC","S","null","null",1,0,2020,"0.25","0.57","0.57","1.82","null","null",623520,2,8,"Top","null","null",,,"607732",,"null",5.900362025024569,-129.6752359834646,-4.614498065753527,1.458008012840486,28.81156686592241,-24.93699839807388,"3.23","1.61","null","null","null","89.8","2229","6.8",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.65","null","null","null","null","null","null","null",58,"2","Cutter",0,5,5,0,5,0,5,0,"Standard","Standard"
"FC","2020-09-21","88.6","-2.08","5.79","Blake Cederlind",518792,664977,"null","ball",,,,,"14","null","R","L","R","PIT","CHC","B","null","null",0,0,2020,"0.27","0.41","1.24","1.57","null","null",623520,2,8,"Top","null","null",,,"607732",,"null",7.611072127485879,-128.81403822258244,-5.141249965214905,1.3627465533993899,27.20453095467845,-26.692539087120725,"3.25","1.61","null","null","null","89.3","2344","6.8",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.67","null","null","null","null","null","null","null",58,"1","Cutter",0,5,5,0,5,0,5,0,"Standard","Standard"
"SI","2020-09-21","97.5","-1.98","5.73","Blake Cederlind",623520,664977,"single","hit_into_play_score",,,,,"11","David Bote singles on a line drive to left fielder Jose Osuna.   Billy Hamilton scores.  ","R","R","R","PIT","CHC","X",7,"line_drive",3,2,2020,"-1.35","0.42","-1.23","2.48","null",571740,"null",2,8,"Top","68.89","121.70",,,"607732",,"null",5.175017512623082,-141.8554963795188,-4.175523113469774,-19.41528879517448,33.264044633608975,-25.80362356079186,"3.26","1.55","170","62.8","24","98.1","2075","6.7",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.81","0.650","0.585","0.90",1,1,0,4,57,"6","Sinker",0,4,4,0,4,0,4,0,"Standard","Standard"
"SI","2020-09-21","96.9","-2.02","5.73","Blake Cederlind",623520,664977,"null","called_strike",,,,,"6","null","R","R","R","PIT","CHC","S","null","null",3,1,2020,"-1.64","0.33","0.72","2.16","null",571740,"null",2,8,"Top","null","null",,,"607732",,"null",11.162799679080146,-140.62474626083048,-4.76844290595922,-24.328240005704746,31.72871058805239,-26.814739445261907,"3.21","1.55","null","null","null","97.7","2103","6.9",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.65","null","null","null","null","null","null","null",57,"5","Sinker",0,4,4,0,4,0,4,0,"Standard","Standard"
"SI","2020-09-21","97.4","-1.93","5.66","Blake Cederlind",623520,664977,"null","called_strike",,,,,"8","null","R","R","R","PIT","CHC","S","null","null",3,0,2020,"-1.55","0.50","-0.16","2.04","null",571740,"null",2,8,"Top","null","null",,,"607732",,"null",8.356375557837817,-141.47337411779796,-5.377967802292149,-22.72212809782527,32.71127936690441,-24.35080526198667,"3.16","1.55","null","null","null","98.1","2039","6.8",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.71","null","null","null","null","null","null","null",57,"4","Sinker",0,4,4,0,4,0,4,0,"Standard","Standard"
"SI","2020-09-21","97.6","-1.92","5.90","Blake Cederlind",623520,664977,"null","ball",,,,,"12","null","R","R","R","PIT","CHC","B","null","null",2,0,2020,"-1.52","0.52","0.07","3.46","null",571740,"null",2,8,"Top","null","null",,,"607732",,"null",8.95432676198037,-141.81645817107596,-2.263754322190042,-22.63946937294033,33.13968984160705,-24.79243808132772,"3.20","1.55","null","null","null","98.5","2096","6.9",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.60","null","null","null","null","null","null","null",57,"3","Sinker",0,4,4,0,4,0,4,0,"Standard","Standard"
"FC","2020-09-21","91.0","-2.20","5.60","Blake Cederlind",623520,664977,"null","ball",,,,,"14","null","R","R","R","PIT","CHC","B","null","null",1,0,2020,"-0.05","0.73","0.95","1.33","null",571740,"null",2,8,"Top","null","null",,,"607732",,"null",8.124516286425424,-132.28443001654753,-6.521794673263315,-2.168648040276928,24.79812032338417,-22.423566457651752,"3.16","1.55","null","null","null","92.4","2241","6.9",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.59","null","null","null","null","null","null","null",57,"2","Cutter",0,4,4,0,4,0,4,0,"Standard","Standard"
